title,company,location,city,salary
Machine Learning Research Assistant,Modern Intelligence,Remote in Austin TX,Austin,72000.0
WIC Statistician,Health & Human Services Comm,Austin TX,Austin,61806.0
Statistician II (23-0205),OFFICE OF THE ATTORNEY GENERAL,Austin TX Windsor Park area,Austin,53586.0
DPS - FIN - Senior Financial Data Analyst - 1159,TEXAS DEPARTMENT OF PUBLIC SAFETY,Austin TX Highland area,Austin,78000.0
Machine Learning Research Assistant,Modern Intelligence,Remote in Austin TX location,Austin,72000.0
Machine Learning Postdoctoral Researcher,University of Houston,Houston TX Third Ward area,Houston,48342.0
Data Scientist,"City of Grand Junction, Colorado",Grand Junction CO,Colorado,90012.0
Data Scientist,City of Grand Junction,Grand Junction CO,Colorado,90012.0
Machine Learning Researcher (Research Technician III) - Office of Research and Sponsored Programs,San Francisco State University,San Francisco CA Lakeshore area,Menlo+Park,72000.0
Data Scientist,The Voleon Group,Berkeley CA,San+Francisco,72000.0
Machine Learning Researcher,California State University,San Francisco CA,San+Francisco,72000.0
Chemist 3,State of Washington Liquor and Cannabis Board,Olympia WA,Washington,73056.0
Machine Learning Engineer,Accenture Federal Services - National Security...,Tampa FL,Florida,72000.0
Data Scientist/Software Engineer (SWE) - Clearance Required,Cymertek,Hanover MD,Baltimore,72000.0
Data Scientist/Cloud Software Engineer (CSWE) - Clearance Required,Cymertek,Hanover MD,Baltimore,72000.0
BIOSTATISTICS & DATA RESEARCH SCIENTIST,University of Washington,Seattle WA University District area,Washington,97614.0
SENIOR FINANCIAL DATA ANALYST,University of Washington,Seattle WA University District area,Seattle,93972.0
Chemist 3,State of Washington Liquor and Cannabis Board,Olympia WA location,Washington,73056.0
Research Associate II,University of Houston,Houston TX,Houston,55596.0
SYSTEMS PROJECT CONSULTANT,The State of Florida,Tallahassee FL,Florida,44436.0
Manager of Forecasting,Dept of Family & Protectve Svc,Dallas TX Northwest Dallas area,Dallas,93408.0
Computer Vision Developer (all seniority levels),Actum Lab,Remote in Austin TX,Austin,72000.0
Data Analyst,Dept of Family & Protectve Svc,Austin TX Brentwood area,Austin,61806.0
Research Specialist V,Dept of Family & Protectve Svc,Austin TX Brentwood area,Austin,62790.0
Analyst Programmer,California State University,San Bernardino CA California State College San Bernardino area,Ontario,67668.0
Data Engineer,Adroiti Technologies,Remote in Marina del Rey CA,Los+Angeles,72000.0
Operations Associate - University Hire (Rotational Program),The Voleon Group,Berkeley CA,San+Francisco,72000.0
RESEARCH STUDY ASSISTANT,University of Washington,Seattle WA University District area,Washington,40812.0
Assistant Professor in Materials Science and Engineering,University of Washington,Seattle WA University District area locations,Washington,162000.0
Business Intelligence Developer,University of Houston,Houston TX,Houston,70854.0
Data Analyst,Foothill-De Anza Community College District,Los Altos Hills CA,San+Jose,72000.0
RRC - IT Data Analyst V,RAILROAD COMMISSION OF TEXAS,Austin TX Downtown area,Austin,81210.0
Data Analyst IV - Advanced Analytics,Health & Human Services Comm,Austin TX Hyde Park area,Austin,77862.0
Business Intelligence Specialist - JC-323874,Department of Industrial Relations,Oakland CA Downtown area,Menlo+Park,93618.0
Business Intelligence Data Specialist (ITDM-J) – DOH6258,State of Washington Dept. of Health,Temporarily Remote in Tumwater WA,Washington,92562.0
Development & Data Analyst - Administrative Analyst/Specialist - Exempt I,California State University,Hayward CA Hayward Highland area,San+Jose,72000.0
Health Data Analyst (Research Analyst 4),Oregon Health Authority,Portland OR,Portland,82128.0
Children’s Mental Health Research Analyst (Research Analyst 4),Oregon Health Authority,Portland OR,Portland,82128.0
Crime and Data Analyst,"Pueblo County, CO",Pueblo CO,Colorado,77724.0
Data Analyst,"City of Grand Junction, Colorado",Grand Junction CO,Colorado,81498.0
Information Technology Business Analyst,"Pueblo County, CO",Hybrid remote in Pueblo CO,Colorado,77724.0
Innovation Analyst II (Analyst II),"City of Colorado Springs, CO",Colorado Springs CO,Colorado,73938.0
Business Analyst - Visit Grand Junction,"City of Grand Junction, Colorado",Grand Junction CO,Colorado,78522.0
Senior Business Analyst,State of Colorado Job Opportunities,Denver CO North Capitol Hill area,Colorado,72222.0
Law Enf Criminal Int Analyst I,The State of Oklahoma,Pittsburg County OK,Oklahoma,72000.0
Policy Data Analyst (Research Specialist I) 2023-35,Office of the Governor,Austin TX Downtown area,Austin,49998.0
Data Analyst II,Health & Human Services Comm,Austin TX,Austin,61056.0
Data Research Analyst,Health & Human Services Comm,Remote in Austin TX,Austin,59832.0
Data Systems Analyst -100% remote in Texas,Health & Human Services Comm,Remote in Austin TX location,Austin,68046.0
23-23 Flood Reporting Coordinator (Data Analyst I-III),Texas Water Development Board,Hybrid remote in Austin TX,Austin,55920.0
"THECB - Data Analyst V, Data Architect",TEXAS HIGHER EDUCATION COORDINATING BOARD,Austin TX Downtown area,Austin,95466.0
Performance Data Analyst (Data Analyst IV),TEXAS EDUCATION AGENCY,Austin TX Downtown area,Austin,68436.0
Management Analyst I,Health & Human Services Comm,Hybrid remote in Austin TX,Austin,55200.0
School Improvement Data Strategy Analyst (Data Analyst III),TEXAS EDUCATION AGENCY,Austin TX Downtown area,Austin,59832.0
Management Analyst I (22-0142),Office of the Attorney General of Texas,Austin TX Downtown area,Austin,48468.0
IT Business Analyst III - 100% remote in Texas,Health & Human Services Comm,Remote in Austin TX,Austin,61320.0
Data Specialist,Health & Human Services Comm,Austin TX,Austin,72792.0
Financial Analyst,Texas Bond Review Board,Austin TX Downtown area,Austin,49002.0
TJJD - Data Analyst II / III / IV - Strategic Data Analyst - (AUS) - 27449,TEXAS JUVENILE JUSTICE DEPARTMENT,Remote in Austin TX,Austin,55578.0
Budget Data Analyst (Research Specialist I) 2023-34,Office of the Governor,Austin TX Downtown area,Austin,49998.0
Sr. Technical Support Analyst,Health & Human Services Comm,Hybrid remote in Austin TX,Austin,70554.0
Business Analyst III (21-0634) Business Innovation Analyst,Office of the Attorney General of Texas,Austin TX Pleasant Valley area,Austin,65502.0
